Color Name,Collection Name,Gender Name,No,Description,Item UPC/EAN Number,Eye Size Description
BUR,Lulu Optical,Female,L763 BUR 51,Lulu Optical L763 BUR 51,764724305635,51
BLK,Lulu Optical,Female,L764 BLK 49,Lulu Optical L764 BLK 49,764724314132,49
BLU,Lulu Optical,Female,L764 BLU 49,Lulu Optical L764 BLU 49,764724314156,49
BRN,Lulu Optical,Female,L764 BRN 49,Lulu Optical L764 BRN 49,764724314149,49
BLK,Lulu Optical,Female,L765 BLK 53,Lulu Optical L765 BLK 53,764724314163,53
BLU,Lulu Optical,Female,L765 BLU 53,Lulu Optical L765 BLU 53,764724314170,53
BRN,Lulu Optical,Female,L765 BRN 53,Lulu Optical L765 BRN 53,764724314187,53
BLA,Lulu Optical,Female,L766 BLA 52,Lulu Optical L766 BLA 52,764724314200,52
BLK,Lulu Optical,Female,L766 BLK 52,LuLu Guinness L766 BLK 52,764724314194,52
BLU,Lulu Optical,Female,L766 BLU 52,Lulu Optical L766 BLU 52,764724314217,52
BLK,Lulu Optical,Female,L767 BLK 51,Lulu Optical L767 BLK 51,764724314224,51
BLU,Lulu Optical,Female,L767 BLU 51,Lulu Optical L767 BLU 51,764724314248,51
,Lulu Optical,Female,L767 BRN 51,Lulu Optical L767 BRN 51,764724314231,
BLK,Lulu Optical,Female,L768 BLK 52,Lulu Optical L768 BLK 52,764724315481,52
BLU,Lulu Optical,Female,L768 BLU 52,Lulu Optical L768 BLU 52,764724315498,52
,Lulu Optical,Female,L768 BRN 52,LuLu Guinness L768 BRN 52,764724315504,
,Lulu Optical,Female,L769 BLA 52,LuLu Guinness L769 BLA 52,,
BLK,Lulu Optical,Female,L769 BLK 52,Lulu Optical L769 BLK 52,764724315511,52
BRN,Lulu Optical,Female,L769 BRN 52,Lulu Optical L769 BRN 52,764724315528,52
PUR,Lulu Optical,Female,L769 PUR 52,Lulu Optical L769 PUR 52,764724315535,52
BRN,Lulu Optical,Female,L770 BRN 49,Lulu Optical L770 BRN 49,764724325466,49
GUN,Lulu Optical,Female,L770 GUN 49,Lulu Optical L770 GUN 49,764724325459,49
NAV,Lulu Optical,Female,L770 NAV 49,Lulu Optical L770 NAV 49,764724325442,49
BLK,Lulu Optical,Female,L771 BLK 53,Lulu Optical L771 BLK 53,764724329525,53
BON,Lulu Optical,Female,L771 BON 53,Lulu Optical L771 BON 53,764724329532,53
TOR,Lulu Optical,Female,L771 TOR 53,Lulu Optical L771 TOR 53,764724329518,53
BLK,Lulu Optical,Female,L772 BLK 53,Lulu Optical L772 BLK 53,764724339111,53
BRN,Lulu Optical,Female,L772 BRN 53,Lulu Optical L772 BRN 53,764724339098,53
NAV,Lulu Optical,Female,L772 NAV 53,Lulu Optical L772 NAV 53,764724339104,53
BLC,Lulu Optical,Female,L773 BLC 51,Lulu Optical L773 BLC 51,764724346546,51
BLK,Lulu Optical,Female,L773 BLK 51,Lulu Optical L773 BLK 51,764724346560,51
NAV,Lulu Optical,Female,L773 NAV 51,Lulu Optical L773 NAV 51,764724346553,51
BLK,Lulu Optical,Female,L774 BLK 50,Lulu Optical L774 BLK 50,764724348335,50
GRN,Lulu Optical,Female,L774 GRN 50,Lulu Optical L774 GRN 50,764724348342,50
NAV,Lulu Optical,Female,L774 NAV 50,Lulu Optical L774 NAV 50,764724348359,50
BLK,Lulu Optical,Female,L775 BLK 52,Lulu Optical L775 BLK 52,764724353681,52
BRN,Lulu Optical,Female,L775 BRN 52,Lulu Optical L775 BRN 52,764724353698,52
NAV,Lulu Optical,Female,L775 NAV 52,Lulu Optical L775 NAV 52,764724359157,52
BLK,Lulu Optical,Female,L776 BLK 51,Lulu Optical L776 BLK 51,764724377809,51
BUR,Lulu Optical,Female,L776 BUR 51,Lulu Optical L776 BUR 51,764724377823,51
TOR,Lulu Optical,Female,L776 TOR 51,Lulu Optical L776 TOR 51,764724377816,51
BLK,Lulu Optical,Female,L777 BLK 52,Lulu Optical L777 BLK 52,764724377861,52
BUR,Lulu Optical,Female,L777 BUR 52,Lulu Optical L777 BUR 52,764724377878,52
GUN,Lulu Optical,Female,L777 GUN 52,Lulu Optical L777 GUN 52,764724377885,52
BLK,Lulu Optical,Female,L778 BLK 51,Lulu Optical L778 BLK 51,764724377892,51
BRN,Lulu Optical,Female,L778 BRN 51,Lulu Optical L778 BRN 51,764724377915,51
NAV,Lulu Optical,Female,L778 NAV 51,Lulu Optical L778 NAV 51,764724377908,51
BRN,Lulu Optical,Female,L779 BRN 53,Lulu Optical L779 BRN 53,764724377939,53
GLD,Lulu Optical,Female,L779 GLD 53,Lulu Optical L779 GLD 53,764724377946,53
RGD,Lulu Optical,Female,L779 RGD 53,Lulu Optical L779 RGD 53,764724377922,53
BLK,Lulu Optical,Female,L780 BLK 51,Lulu Optical L780 BLK 51,764724392222,51
NAV,Lulu Optical,Female,L780 NAV 51,Lulu Optical L780 NAV 51,764724392215,51
TEA,Lulu Optical,Female,L780 TEA 51,Lulu Optical L780 TEA 51,764724392239,51
,Lulu Optical,Female,L780 TEA 90,Lulu Optical  L780 TEA 90,,
BLK,Lulu Optical,Female,L781 BLK 51,Lulu Optical L781 BLK 51,764724394851,51
BRN,Lulu Optical,Female,L781 BRN 51,Lulu Optical L781 BRN 51,764724394875,51
TEA,Lulu Optical,Female,L781 TEA 51,Lulu Optical L781 TEA 51,764724394868,51
BLK,Lulu Optical,Female,L782 BLK 55,Lulu Optical L782 BLK 55,764724427122,55
,Lulu Optical,Female,L782 BLK 90,Lulu Optical  L782 BLK 90,,
BUR,Lulu Optical,Female,L782 BUR 55,Lulu Optical L782 BUR 55,764724427139,55
TEA,Lulu Optical,Female,L782 TEA 55,Lulu Optical L782 TEA 55,764724427146,55
BLK,Lulu Optical,Female,L783 BLK 50,Lulu Optical L783 BLK 50,764724427153,50
,Lulu Optical,Female,L783 BLK 90,Lulu Optical  L783 BLK 90,,
BRN,Lulu Optical,Female,L783 BRN 50,Lulu Optical L783 BRN 50,764724427160,50
,Lulu Optical,Female,L783 BRN 90,Lulu Optical  L783 BRN 90,,
NAV,Lulu Optical,Female,L783 NAV 50,Lulu Optical L783 NAV 50,764724427177,50
BRN,Lulu Optical,Female,L784 BRN 50,Lulu Optical L784 BRN 50,764724434038,50
BUR,Lulu Optical,Female,L784 BUR 50,Lulu Optical L784 BUR 50,764724434045,50
BUR,Lulu Optical,Female,L784 BUR 91,Lulu Optical L784 BUR 91,764724990251,50
GRN,Lulu Optical,Female,L784 GRN 50,Lulu Optical L784 GRN 50,764724434052,50
BLK,Lulu Optical,Female,L785 BLK 52,Lulu Optical L785 BLK 52,764724434069,52
